Timestamp,Flow1_SP,Flow1_PV,Flow2_SP,Flow2_PV
2025-01-22T12:13:49.826574,1.5,1.4059940576553345,0.001,0.0014617214910686016
2025-01-22T12:13:51.315780,1.5,1.502027153968811,0.001,0.002281223889440298
2025-01-22T12:13:52.788172,1.5,1.500600814819336,0.001,0.0021376225631684065
2025-01-22T12:13:54.227818,1.5,1.5001553297042847,0.001,0.002227170392870903
2025-01-22T12:13:55.647631,1.5,1.5000320672988892,0.001,0.0023606393951922655
2025-01-22T12:13:57.106251,1.5,1.499885082244873,0.001,0.002441146643832326
2025-01-22T12:13:58.530016,1.5,1.4998341798782349,0.001,0.0022452399134635925
2025-01-22T12:13:59.948963,1.5,1.4998807907104492,0.001,0.0021987215150147676
2025-01-22T12:14:01.340667,1.5,1.4998072385787964,0.001,0.002227810211479664
2025-01-22T12:14:02.771812,1.5,1.4998470544815063,0.001,0.0022955734748393297
2025-01-22T12:14:04.145048,1.5,1.4999314546585083,0.001,0.0022288034670054913
2025-01-22T12:14:05.621147,1.5,1.4998770952224731,0.001,0.0023547394666820765
2025-01-22T12:14:07.116128,1.5,1.499885082244873,0.001,0.0021553582046180964
2025-01-22T12:14:08.528521,1.5,1.4999765157699585,0.001,0.0022115702740848064
2025-01-22T12:14:09.981097,1.5,1.4999046325683594,0.001,0.0024518845602869987
2025-01-22T12:14:11.359272,1.5,1.5000170469284058,0.001,0.0023341714404523373
2025-01-22T12:14:12.836201,1.5,1.4999140501022339,0.001,0.002240164205431938
2025-01-22T12:14:14.300189,1.5,1.4998664855957031,0.001,0.0022760399151593447
2025-01-22T12:14:15.772044,1.5,1.4998563528060913,0.001,0.00247267447412014
2025-01-22T12:14:17.162559,1.5,1.4998599290847778,0.001,0.0021799036767333746
2025-01-22T12:14:18.570757,1.5,1.499839186668396,0.001,0.0023169079795479774
2025-01-22T12:14:20.013598,1.5,1.4998669624328613,0.001,0.0024008266627788544
2025-01-22T12:14:21.466501,1.5,1.4999605417251587,0.001,0.002528700977563858
2025-01-22T12:14:22.940258,1.5,1.4999765157699585,0.001,0.002485790057107806
2025-01-22T12:14:24.382094,1.5,1.4998819828033447,0.001,0.0022406643256545067
2025-01-22T12:14:25.771261,1.5,1.4999618530273438,0.001,0.0024214370641857386
2025-01-22T12:14:27.148297,1.5,1.4999966621398926,0.001,0.0024573737755417824
2025-01-22T12:14:28.616183,1.5,1.4998992681503296,0.001,0.0022968356497585773
2025-01-22T12:14:30.011954,1.5,1.4999314546585083,0.001,0.002170786028727889
2025-01-22T12:14:31.497184,1.5,1.4999830722808838,0.001,0.002141630044206977
2025-01-22T12:14:32.921263,1.5,1.4998009204864502,0.001,0.0021214974112808704
2025-01-22T12:14:34.347772,1.5,1.4999115467071533,0.001,0.0021598059684038162
2025-01-22T12:14:35.799583,1.5,1.4998847246170044,0.001,0.0022425521165132523
2025-01-22T12:14:37.193480,1.5,1.499936580657959,0.001,0.0023821622598916292
2025-01-22T12:14:38.631550,1.5,1.4999966621398926,0.001,0.00244335294701159
2025-01-22T12:14:40.078395,1.5,1.4999420642852783,0.001,0.002333706011995673
2025-01-22T12:14:41.481609,1.5,1.5000077486038208,0.001,0.002377759199589491
2025-01-22T12:14:42.934818,1.5,1.4999091625213623,0.001,0.0023073505144566298
2025-01-22T12:14:44.359314,1.5,1.5000345706939697,0.001,0.002449117135256529
2025-01-22T12:14:45.766415,1.5,1.4999339580535889,0.001,0.002249028766527772
2025-01-22T12:14:47.222818,1.5,1.4999630451202393,0.001,0.002219127956777811
2025-01-22T12:14:48.717145,1.5,1.4998810291290283,0.001,0.002267747651785612
2025-01-22T12:14:50.178390,1.5,1.4999006986618042,0.001,0.002333692042157054
2025-01-22T12:14:51.648399,1.5,1.4998548030853271,0.001,0.0023263224866241217
2025-01-22T12:14:53.095663,1.5,1.4999605417251587,0.001,0.00229422259144485
2025-01-22T12:14:54.544859,1.5,1.4999521970748901,0.01,0.006539101712405682
2025-01-22T12:14:55.951014,1.5,1.4999558925628662,0.01,0.009259061887860298
2025-01-22T12:14:57.363145,1.5,1.4998745918273926,0.01,0.009959124960005283
2025-01-22T12:14:58.787376,1.5,1.499946117401123,0.01,0.010084220208227634
2025-01-22T12:15:00.194928,1.5,1.4998774528503418,0.01,0.0101813655346632
2025-01-22T12:15:01.604120,1.5,1.4998908042907715,0.01,0.010166958905756474
2025-01-22T12:15:03.050332,1.5,1.5000064373016357,0.01,0.010072478093206882
2025-01-22T12:15:04.482544,1.5,1.4998568296432495,0.01,0.010101251304149628
2025-01-22T12:15:05.893014,1.5,1.4999744892120361,0.01,0.01018231175839901
2025-01-22T12:15:07.267338,1.5,1.5000203847885132,0.01,0.010199216194450855
2025-01-22T12:15:08.676676,1.5,1.49997079372406,0.01,0.01017883699387312
2025-01-22T12:15:10.152225,1.5,1.4999483823776245,0.01,0.010102025233209133
2025-01-22T12:15:11.587634,1.5,1.500014305114746,0.01,0.010122309438884258
