Step,Target_Conc_ppm,Actual_Conc_ppm,Base_Flow_Lmin,Variable_Flow_Lmin,Variable_Instrument,Timestamp
1,0.00,0.00,0.9985,0.0000,0,2025-12-15T15:52:35.625104
2,10.00,10.25,0.9997,0.0021,3,2025-12-15T15:52:41.949060
3,20.00,20.00,0.9998,0.0040,3,2025-12-15T15:52:47.774727
4,30.00,29.93,0.9998,0.0060,3,2025-12-15T15:52:54.702507
5,40.00,40.33,0.9999,0.0081,3,2025-12-15T15:53:00.326879
6,50.00,0.00,0.0000,0.0000,3,2025-12-15T15:53:06.886059
7,60.00,60.42,0.9984,0.0122,3,2025-12-15T15:53:12.616251
