Step,Target_Conc_ppm,Actual_Conc_ppm,Base_Flow_Lmin,Variable_Flow_Lmin,Variable_Instrument,Timestamp
1,0.00,0.00,0.9979,0.0000,0,2025-12-15T16:04:02.569086
2,10.00,7.91,0.9998,0.0016,3,2025-12-15T16:04:18.230931
